time,x,y,r,dist,xangle,yangle
1,652,305,47,1.8863,0.65625,3.28472
2,186,562,71,1.24868,-24.8281,-12.0639
3,390,114,39,2.27323,-13.6719,14.6917
4,938,142,38,2.33306,16.2969,13.0194
5,1096,635,71,1.24868,24.9375,-16.4236
6,840,440,54,1.64178,10.9375,-4.77778
7,660,487,59,1.50265,1.09375,-7.58472
8,454,405,55,1.61193,-10.1719,-2.6875
9,418,280,48,1.847,-12.1406,4.77778
10,509,200,43,2.06177,-7.16406,9.55556
11,679,174,41,2.16234,2.13281,11.1083
12,818,214,41,2.16234,9.73438,8.71944
13,887,328,48,1.847,13.5078,1.91111